trip_date,vehicle_id,tonnage,product,delivery_number,quantity,distributor,amount
1/3/2025,KCS067W,13,UDV,1055346181,680,BIA POA DISTRIBUTORS LIMITED,19000
1/4/2025,KCK133T,13,UDV,1055349238,648,ALBADI MWINGI,35000
1/6/2025,KCD001A,13,UDV,1055352009,810,DELTA POINT MAKONGENI,20000
1/8/2025,KDH312K,7,UDV,1055361777,370,MUCHARAGE KAHURO,19500
1/8/2025,KAT547U,13,UDV,1055361775,600,MT KENYAKARUEBEVERAGESLTD,40000
1/8/2025,KCD001A,13,UDV,1055361772,616,HAPPYLAND BOMET,52000
1/9/2025,KCN156N,7,UDV,1055366461,370,MUCHARAGE KAHURO,19500
1/9/2025,KCB803Z,7,UDV,1055366466,457,MISTERTHREEDISTRIBUTORSLTD,25000
1/7/2025,KBU196W,13,UDV,1055356231,620,ASPENDOS(K)LTD OTHAYA,35000
1/8/2025,KCK133T,13,UDV,1055362817,600,CYDEN ELDORET,70000
1/14/2025,KCS067W,13,UDV,1055380266,778,HAPPYLAND NAROK,40000
1/14/2025,KBU196W,7,UDV,1055384350,467,HAPPYLAND NAROK,26000
1/14/2025,KBN536N,7,UDV,1055384481,435,MT KENYAKARUEBEVERAGESLTD,27300
1/14/2025,KCD001A,13,UDV,1055384323,728,ASPENDOS(k)LTD,33237
1/14/2025,KCB803Z,13,UDV,1055384493,560,WAMUTI NYERI,35000
1/15/2025,KDH312K,13,UDV,1055388130,505,ALBADI MWINGI,35000
1/14/2025,KCU278L,13,UDV,1055384223,610,PEANCO KERUGOYA,33000
1/16/2025,KCJ579X,13,UDV,1055393128,700,MT KENYAKARUEBEVERAGESLTD,40000
1/15/2025,KCN156N,13,UDV,1055388362,586,HAPPYLAND BOMET,52000
1/17/2025,KBN536N,7,UDV,1055396954,429,CYDEN ELDORET,50000
1/17/2025,KAT547U,13,UDV,1055398610,530,DELTA POINT MAKONGENI,20000
1/17/2025,KBU196W,13,UDV,1055397858,557,KISAJU KAGIO,30000
1/18/2025,KBC677M,13,UDV,1055398833,635,D.O STORES ELDORET,70000
1/18/2025,KCU894S,13,UDV,1055400946,555,ASPENDOS(K)LTD OTHAYA,35000
1/20/2025,KCW595H,7,UDV,1055404867,307,MALEXEDISTRIBUTORSLIMITED KITHYUKO,22000
1/20/2025,KCJ579X,13,UDV,1055404906,630,HAPPYLAND BOMET,52000
1/21/2025,KCS067W,13,UDV,1055408934,663,HAPPYLAND BOMET,52000
1/22/2025,KDH312K,7,UDV,1055414293,355,MUCHARAGE KAHURO,19500
1/21/2025,KCK133T,13,UDV,1055409032,672,TOKI KITUI,37000
1/23/2025,KCD001A,13,UDV,1055419296,616,DELTA POINT MAKONGENI,20000
1/24/2025,KCN156N,13,UDV,1055423946,555,ENGIPRODISTRIBUTORSLIMITED,19000
1/23/2025,KBC677M,13,UDV,1055420020,615,HAPPYLAND NAROK,40000
1/22/2025,KCF610N,13,UDV,1055414298,636,D.O STORES ELDORET,70000
1/22/2025,KCR141P,13,UDV,1055414300,513,DAKANEYKEROWCOMMUNICATIONLIMITED,33200
1/27/2025,KCW595H,7,UDV,1055431798,436,SENATORYETUAGENCIES,20000
1/27/2025,KBC677M,13,UDV,1055430087,655,MALEXEDISTRIBUTORSLIMITED KITHYUKO,34000
1/22/2025,KCB803Z,7,UDV,1055414301,482,DAKANEYKEROWCOMMUNICATIONLIMITED,21500
1/28/2025,KDH312K,7,UDV,1055431810,300,SUNRISE IKUTHA,37000
1/29/2025,KAT547U,7,UDV,1055434611,302,DAVID MUNYAE DISTRIBUTORS COMPANY,16500
1/27/2025,KBU196W,13,UDV,1055430002,585,KINGIINYA NKUBU,45000
1/29/2025,KBT436A,13,UDV,1055440329,608,KISAJU KAGIO,30000
1/30/2025,KCN156N,13,UDV,1055441935,503,D.O STORES ELDORET,70000
